FU129	Cycle	RC	S0	S1	S2	S3	S4	S5	qPCR Temp	
	-40	1	3928	0	0	0	0	0	31.01	
	-40	2	0	3901	3896	3813	0	0	31.01	
	-40	3	0	0	0	3836	3930	0	31.01	
	-40	4	0	0	0	0	3956	3948	31.01	
	-40	5	0	0	0	0	0	0	31.01	
	-40	6	0	0	0	0	0	0	31.01	
	-40	7	0	0	0	0	0	0	31.01	
	-40	8	0	0	0	0	0	0	31.01	
	-30	1	488351	0	0	0	0	0	31.01	
	-30	2	0	51442	250917	66060	0	0	31.01	
	-30	3	0	0	0	5704	160250	0	31.01	
	-30	4	0	0	0	0	160394	27495	31.01	
	-30	5	0	0	0	0	0	0	31.01	
	-30	6	0	0	0	0	0	0	31.01	
	-30	7	0	0	0	0	0	0	31.01	
	-30	8	0	0	0	0	0	0	31.01	
	-20	1	3893	3899	3886	3868	4030	3980	31.00	
	-20	2	3904	3893	3863	3825	4014	3966	31.00	
	-20	3	3923	3907	3866	3845	4018	3996	31.00	
	-20	4	3905	3917	3867	3812	4050	3996	31.00	
	-20	5	3892	3888	3862	3857	4016	3996	31.00	
	-20	6	3887	3890	3872	3865	4015	3985	31.00	
	-20	7	3906	3922	3851	3851	4002	3996	31.00	
	-20	8	3918	3917	3843	3837	4002	3973	31.00	
	-10	1	22723	7453	5485	5107	6747	4281	31.00	
	-10	2	33949	11012	7507	16942	37271	7456	31.00	
	-10	3	42151	10857	7106	36486	50615	8137	31.00	
	-10	4	49690	12606	8220	25625	161972	19065	31.00	
	-10	5	40736	15739	10959	95562	14924	4593	31.00	
	-10	6	41574	11660	7921	47475	10624	4462	31.00	
	-10	7	36311	9863	6645	18519	32044	6706	31.00	
	-10	8	23386	7508	5628	5200	6874	4306	31.00	
	0	1	20413	7376	5431	5110	6665	4323	31.06	
	0	2	53724	10277	6409	23690	80775	101501	31.06	
	0	3	49160	9602	6985	129721	37403	59428	31.06	
	0	4	63702	10103	6187	43688	271602	97184	31.06	
	0	5	49632	16765	10713	168409	31372	106364	31.06	
	0	6	41724	11080	7156	31238	21862	107539	31.06	
	0	7	41944	10130	6778	74976	44647	107689	31.06	
	0	8	21225	7450	5600	5189	6872	4321	31.06	
	1	1	20895	7347	5437	5124	6740	4315	31.47	
	1	2	58642	11181	6780	46732	96818	45842	31.47	
	1	3	70833	11591	8128	251002	73420	47035	31.47	
	1	4	68318	11344	6881	109863	351434	47386	31.47	
	1	5	57329	18865	11596	225085	29939	47939	31.47	
	1	6	58717	12946	7763	60688	16904	45477	31.47	
	1	7	47773	11400	7288	111298	55668	45015	31.47	
	1	8	21697	7452	5617	5237	7113	4328	31.47	
	2	1	21011	7375	5456	5148	6731	4299	31.56	
	2	2	58931	11218	6802	46489	96458	46014	31.56	
	2	3	71404	11633	8188	251664	72782	46829	31.56	
	2	4	68240	11361	6870	108140	348537	47460	31.56	
	2	5	60996	19723	12099	251275	31118	48082	31.56	
	2	6	59259	13069	7812	60424	16877	45426	31.56	
	2	7	52642	11869	7533	129185	62306	45045	31.56	
	2	8	21760	7445	5618	5218	7117	4343	31.56	
	3	1	21113	7351	5462	5146	6744	4316	31.69	
	3	2	59282	11243	6813	46480	96506	46024	31.69	
	3	3	69471	11530	8106	241099	70158	46150	31.69	
	3	4	68979	11426	6902	108608	351400	47532	31.69	
	3	5	61033	19731	12120	248176	30925	48215	31.69	
	3	6	60742	13260	7877	61661	17045	45426	31.69	
	3	7	51886	11875	7527	126021	61456	45094	31.69	
	3	8	21851	7439	5599	5231	7145	4343	31.69	
	4	1	21170	7361	5461	5130	6759	4285	31.81	
	4	2	58968	11245	6825	45967	95649	46058	31.81	
	4	3	69054	11442	8059	238378	69311	45457	31.81	
	4	4	69069	11431	6911	108194	350835	47624	31.81	
	4	5	60895	19701	12119	244098	30662	48366	31.81	
	4	6	60831	13284	7857	61315	17016	45451	31.81	
	4	7	52743	11942	7542	128557	62463	45131	31.81	
	4	8	21946	7426	5606	5243	7121	4351	31.81	
	5	1	21275	7349	5445	5146	6759	4310	31.97	
	5	2	58947	11236	6809	45858	95337	46003	31.97	
	5	3	68872	11478	8035	237154	68963	45495	31.97	
	5	4	69073	11423	6908	107808	349247	47678	31.97	
	5	5	60723	19684	12098	241366	30402	48341	31.97	
	5	6	60903	13314	7869	61159	17020	45471	31.97	
	5	7	52620	11926	7546	127490	62036	45156	31.97	
	5	8	22014	7440	5613	5228	7160	4362	31.97	
	6	1	21338	7354	5456	5131	6751	4305	32.09	
	6	2	58851	11222	6806	45598	94808	46023	32.09	
	6	3	69095	11487	8011	237346	69013	45634	32.09	
	6	4	68961	11419	6892	107247	348249	47719	32.09	
	6	5	60630	19638	12110	239744	30277	48409	32.09	
	6	6	60815	13330	7872	60787	17013	45525	32.09	
	6	7	52567	11949	7554	127040	61717	45224	32.09	
	6	8	22088	7428	5579	5233	7182	4345	32.09	
	7	1	21407	7376	5445	5148	6748	4301	32.22	
	7	2	58748	11200	6828	45469	94483	46026	32.22	
	7	3	69206	11512	8036	237374	69040	45747	32.22	
	7	4	69062	11454	6915	107187	348192	47824	32.22	
	7	5	60588	19657	12084	238808	30172	48436	32.22	
	7	6	60775	13316	7872	60584	17009	45581	32.22	
	7	7	52513	11942	7572	126492	61404	45199	32.22	
	7	8	22148	7452	5575	5262	7193	4343	32.22	
	8	1	21455	7341	5427	5120	6744	4325	32.38	
	8	2	58698	11197	6805	45302	94285	46034	32.38	
	8	3	69306	11491	8031	237539	69045	45889	32.38	
	8	4	69132	11444	6907	107016	348401	47915	32.38	
	8	5	60501	19620	12059	237780	30097	48497	32.38	
	8	6	61028	13344	7882	60681	17040	45613	32.38	
	8	7	52483	11937	7546	126191	61292	45197	32.38	
	8	8	22187	7434	5619	5241	7181	4352	32.38	
	9	1	21503	7344	5415	5130	6763	4312	32.53	
	9	2	58651	11235	6802	45239	94084	46022	32.53	
	9	3	69407	11533	8041	237512	69076	46045	32.53	
	9	4	69211	11456	6896	106976	348412	48045	32.53	
	9	5	60620	19672	12058	237720	30097	48502	32.53	
	9	6	60958	13350	7876	60552	17035	45672	32.53	
	9	7	52443	11938	7530	125818	61097	45237	32.53	
	9	8	22247	7416	5609	5228	7213	4368	32.53	
	10	1	21548	7356	5431	5126	6775	4302	32.66	
	10	2	58621	11195	6806	45182	93966	45994	32.66	
	10	3	69559	11520	8052	237922	69175	46173	32.66	
	10	4	69162	11459	6899	106873	347971	48041	32.66	
	10	5	60800	19718	12083	238406	30112	48493	32.66	
	10	6	60996	13380	7868	60560	17038	45709	32.66	
	10	7	52524	11954	7556	125821	61132	45193	32.66	
	10	8	22281	7422	5612	5219	7192	4335	32.66	
	11	1	21608	7333	5442	5117	6762	4286	32.81	
	11	2	58667	11234	6783	45129	93838	45993	32.81	
	11	3	69550	11518	8045	237590	69145	46196	32.81	
	11	4	69198	11463	6904	106722	347741	48057	32.81	
	11	5	60782	19678	12059	237710	30105	48462	32.81	
	11	6	61002	13380	7873	60327	17028	45674	32.81	
	11	7	52521	11930	7537	125647	61075	45216	32.81	
	11	8	22378	7423	5593	5233	7227	4338	32.81	
	12	1	21668	7317	5407	5120	6750	4319	32.91	
	12	2	58627	11221	6799	45024	93768	45985	32.91	
	12	3	69599	11505	8015	237594	69051	46226	32.91	
	12	4	69260	11474	6908	106643	348033	48083	32.91	
	12	5	60732	19712	12039	237651	30009	48531	32.91	
	12	6	60565	13335	7867	59911	16976	45590	32.91	
	12	7	52564	11960	7543	125382	60963	45129	32.91	
	12	8	22365	7424	5589	5238	7206	4334	32.91	
	13	1	21659	7322	5437	5151	6773	4285	33.00	
	13	2	58575	11193	6785	45012	93631	45962	33.00	
	13	3	69684	11492	8046	237662	69111	46303	33.00	
	13	4	69240	11473	6900	106530	347364	48077	33.00	
	13	5	60722	19693	12027	237030	29955	48441	33.00	
	13	6	61091	13396	7895	60342	17011	45590	33.00	
	13	7	52292	11914	7519	124589	60577	44810	33.00	
	13	8	22389	7428	5605	5249	7234	4332	33.00	
	14	1	21716	7334	5406	5129	6769	4320	33.13	
	14	2	58375	11191	6781	44748	93156	45773	33.13	
	14	3	69771	11513	8011	238019	69217	46385	33.13	
	14	4	69154	11418	6875	106276	346806	48014	33.13	
	14	5	60740	19695	12044	236726	29907	48371	33.13	
	14	6	60888	13375	7867	60147	16999	45605	33.13	
	14	7	52005	11870	7500	123401	60053	44379	33.13	
	14	8	22486	7435	5606	5227	7201	4347	33.13	
	15	1	21738	7328	5448	5126	6771	4300	33.19	
	15	2	58066	11151	6776	44471	92468	45446	33.19	
	15	3	69781	11538	8022	237942	69217	46477	33.19	
	15	4	69132	11450	6898	106112	346582	48012	33.19	
	15	5	60761	19703	12040	236662	29884	48378	33.19	
	15	6	61035	13362	7874	60182	17014	45583	33.19	
	15	7	51958	11889	7487	123007	59922	44315	33.19	
	15	8	22473	7410	5581	5224	7229	4338	33.19	
	16	1	21742	7321	5438	5124	6782	4287	33.28	
	16	2	57776	11132	6788	44121	91744	45138	33.28	
	16	3	69812	11541	8036	237878	69229	46535	33.28	
	16	4	69207	11471	6890	106075	346751	48076	33.28	
	16	5	60718	19691	11612	236315	29882	48313	33.28	
	16	6	60971	13366	7901	60125	16992	45546	33.28	
	16	7	51704	11849	7482	121984	59454	44320	33.28	
	16	8	22528	7400	5601	5240	7215	4337	33.28	
	17	1	21782	7305	5391	5137	6762	4301	33.38	
	17	2	57674	11128	6793	43954	91395	45039	33.38	
	17	3	69876	11518	8023	238035	69262	46647	33.38	
	17	4	69220	11437	6854	106030	346719	48102	33.38	
	17	5	60663	19661	12010	235401	29805	48295	33.38	
	17	6	61065	13383	7878	60103	16999	45557	33.38	
	17	7	51815	11857	7519	122409	59715	44453	33.38	
	17	8	22536	7412	5619	5226	7233	4353	33.38	
	18	1	21811	7303	5408	5095	6767	4304	33.44	
	18	2	57749	11141	6778	43992	91438	45126	33.44	
	18	3	69977	11539	7999	237939	69300	46706	33.44	
	18	4	69224	11454	6890	105890	346557	48150	33.44	
	18	5	60798	19704	12026	236086	29846	48382	33.44	
	18	6	60966	13429	7867	59995	16976	45506	33.44	
	18	7	51846	11847	7475	122197	59649	44546	33.44	
	18	8	22559	7415	5575	5234	7225	4347	33.44	
	19	1	21817	7312	5426	5106	6763	4281	33.50	
	19	2	57767	11115	6767	43994	91490	45292	33.50	
	19	3	69905	11529	8017	237564	69197	46647	33.50	
	19	4	69208	11431	6880	105847	346223	48116	33.50	
	19	5	60995	19726	12046	236805	29961	48523	33.50	
	19	6	60997	13411	7843	59992	16965	45402	33.50	
	19	7	51760	11884	7480	122073	59568	44652	33.50	
	19	8	22591	7429	5558	5241	7255	4372	33.50	
	20	1	21860	7331	5433	5107	6755	4304	33.56	
	20	2	57600	11120	6770	43825	91117	45242	33.56	
	20	3	70006	11559	8016	237920	69283	46767	33.56	
	20	4	69180	11467	6866	105709	345744	48125	33.56	
	20	5	61070	19762	12071	237193	29980	48715	33.56	
	20	6	60864	13376	7881	59928	16957	45377	33.56	
	20	7	51772	11836	7462	121817	59560	44752	33.56	
	20	8	22625	7407	5567	5227	7255	4340	33.56	
	21	1	21878	7304	5432	5108	6776	4303	33.59	
	21	2	57587	11113	6742	43786	91074	45338	33.59	
	21	3	70001	11534	8012	237781	69307	46800	33.59	
	21	4	69234	11474	6892	105727	345702	48155	33.59	
	21	5	61082	19771	12041	237041	30000	48761	33.59	
	21	6	60810	13384	7867	59803	16940	45274	33.59	
	21	7	51807	11840	7493	121657	59492	44864	33.59	
	21	8	22667	7409	5576	5242	7253	4365	33.59	
	22	1	21921	7308	5438	5139	6773	4292	33.66	
	22	2	57720	11123	6787	43848	91269	45555	33.66	
	22	3	69985	11550	8030	237995	69371	46898	33.66	
	22	4	69303	11461	6887	105590	346138	48184	33.66	
	22	5	61061	19773	12060	236482	29950	48748	33.66	
	22	6	60734	13363	7865	59750	16911	45197	33.66	
	22	7	51751	11851	7476	121563	59446	44917	33.66	
	22	8	22678	7409	5565	5238	7259	4344	33.66	
	23	1	21942	7341	5420	5128	6744	4296	33.72	
	23	2	57666	11116	6777	43743	91040	45590	33.72	
	23	3	70070	11537	8043	237871	69384	46908	33.72	
	23	4	69304	11451	6884	105656	345597	48183	33.72	
	23	5	61042	19779	12033	236377	29930	48794	33.72	
	23	6	60777	13398	7887	59557	16894	45078	33.72	
	23	7	51767	11872	7493	121331	59406	45001	33.72	
	23	8	22675	7367	5583	5230	7279	4362	33.72	
	24	1	21929	7305	5432	5111	6756	4309	33.75	
	24	2	57506	11108	6738	43625	90806	45581	33.75	
	24	3	70073	11545	8002	237870	69374	46947	33.75	
	24	4	69225	11469	6859	105398	345298	48174	33.75	
	24	5	61057	19764	12032	236039	29889	48787	33.75	
	24	6	60593	13373	7842	59471	16865	44948	33.75	
	24	7	51748	11875	7465	121144	59351	45115	33.75	
	24	8	22701	7383	5578	5242	7247	4331	33.75	
	25	1	21941	7298	5423	5131	6775	4301	33.81	
	25	2	57676	11164	6778	43729	91021	45730	33.81	
	25	3	70122	11552	8016	237911	69391	47025	33.81	
	25	4	69246	11466	6897	105380	345208	48125	33.81	
	25	5	61074	19751	12023	235875	29878	48876	33.81	
	25	6	60502	13373	7869	59303	16829	44812	33.81	
	25	7	51660	11857	7501	121070	59323	45153	33.81	
	25	8	22718	7385	5568	5211	7264	4351	33.81	
	26	1	21959	7296	5425	5112	6778	4292	33.84	
	26	2	57768	11168	6751	43700	91093	45910	33.84	
	26	3	70214	11553	8020	238020	69447	47067	33.84	
	26	4	69227	11468	6873	105170	344702	48085	33.84	
	26	5	61126	19778	12042	235957	29924	48911	33.84	
	26	6	60538	13353	7851	59271	16821	44755	33.84	
	26	7	51646	11845	7485	120755	59211	45182	33.84	
	26	8	22763	7404	5576	5227	7250	4339	33.84	
	27	1	21994	7300	5415	5101	6770	4309	33.91	
	27	2	57790	11146	6772	43658	91033	46015	33.91	
	27	3	70145	11597	8032	237662	69369	47027	33.91	
	27	4	69215	11467	6875	105079	344390	48027	33.91	
	27	5	61141	19832	12015	236060	29944	48889	33.91	
	27	6	60446	13342	7844	59153	16798	44661	33.91	
	27	7	51589	11884	7485	120621	59194	45236	33.91	
	27	8	22802	7397	5563	5206	7264	4323	33.91	
	28	1	22036	7309	5392	5105	6760	4305	33.94	
	28	2	57638	11111	6739	43468	90680	45927	33.94	
	28	3	70135	11555	8013	237886	69464	47103	33.94	
	28	4	69208	11483	6876	104983	343667	47993	33.94	
	28	5	61184	19862	12087	235951	29929	49012	33.94	
	28	6	60201	13320	7820	58926	16736	44433	33.94	
	28	7	51619	11850	7513	120509	59132	45328	33.94	
	28	8	22818	7395	5557	5207	7274	4336	33.94	
	29	1	22000	7334	5417	5137	6762	4321	33.97	
	29	2	57455	11154	6746	43373	90569	45903	33.97	
	29	3	70168	11569	8024	237911	69523	47116	33.97	
	29	4	69270	11495	6912	105026	344301	48017	33.97	
	29	5	61219	19964	12085	235835	29933	49085	33.97	
	29	6	60004	13313	7819	58737	16684	44180	33.97	
	29	7	51575	11854	7492	120177	59031	45323	33.97	
	29	8	22802	7416	5569	5236	7252	4333	33.97	
	30	1	22058	7314	5432	5108	6756	4276	34.00	
	30	2	57506	11150	6746	43298	90500	45886	34.00	
	30	3	70236	11600	8030	238156	69628	47206	34.00	
	30	4	69302	11532	6914	105040	344269	48039	34.00	
	30	5	61280	20157	12169	236186	29961	49172	34.00	
	30	6	59743	13249	7808	58559	16617	43906	34.00	
	30	7	51662	11881	7489	120156	59019	45410	34.00	
	30	8	22842	7431	5594	5218	7270	4352	34.00	
	31	1	22044	7306	5402	5116	6755	4313	34.03	
	31	2	57825	11162	6755	43368	91050	45967	34.03	
	31	3	70231	11587	8028	237968	69726	47163	34.03	
	31	4	69294	11553	6937	104953	343851	48027	34.03	
	31	5	61326	20518	12345	236120	29985	49219	34.03	
	31	6	59405	13203	7779	58371	16526	43518	34.03	
	31	7	51675	11929	7509	120138	59052	45498	34.03	
	31	8	22845	7404	5569	5257	7258	4323	34.03	
	32	1	22070	7290	5420	5121	6752	4273	34.06	
	32	2	58377	11211	6781	43363	91777	46060	34.06	
	32	3	70247	11574	8027	237814	69888	47178	34.06	
	32	4	69282	11649	6946	104827	343638	48001	34.06	
	32	5	61417	21236	12674	236111	29972	49289	34.06	
	32	6	58877	13128	7778	58312	16454	43001	34.06	
	32	7	51677	11947	7513	120094	59088	45603	34.06	
	32	8	22844	7402	5565	5228	7255	4353	34.06	
	33	1	22042	7332	5402	5125	6785	4266	34.09	
	33	2	59371	11248	6748	43420	93205	46111	34.09	
	33	3	70307	11593	8036	237949	70314	47213	34.09	
	33	4	69306	11882	7050	104927	343459	47991	34.09	
	33	5	61364	22578	13287	235757	29954	49265	34.09	
	33	6	58288	13081	7758	58573	16358	42440	34.09	
	33	7	51472	12059	7575	120054	59027	45647	34.09	
	33	8	22875	7389	5574	5217	7252	4346	34.09	
	34	1	22081	7299	5401	5120	6761	4274	34.16	
	34	2	61131	11352	6746	43313	95269	46127	34.16	
	34	3	70353	11576	8022	237915	71210	47228	34.16	
	34	4	69306	12260	7187	104883	343542	47983	34.16	
	34	5	61614	25387	14493	235696	29935	49301	34.16	
	34	6	57586	12940	7724	59333	16259	41702	34.16	
	34	7	51523	12260	7643	119812	58906	45647	34.16	
	34	8	22902	7374	5583	5201	7264	4343	34.16	
	35	1	22123	7308	5404	5113	6772	4299	34.13	
	35	2	64879	11551	6743	43524	99639	46356	34.13	
	35	3	70390	11605	8033	237835	72898	47243	34.13	
	35	4	69413	12988	7465	105011	343727	47922	34.13	
	35	5	61978	30744	16865	236005	29957	49365	34.13	
	35	6	56853	12858	7726	61054	16253	41118	34.13	
	35	7	51564	12658	7792	119593	58832	45668	34.13	
	35	8	22930	7403	5564	5191	7295	4355	34.13	
	36	1	22117	7272	5413	5130	6768	4276	34.16	
	36	2	71414	11907	6776	43599	105851	46452	34.16	
	36	3	70358	11554	8018	238089	76289	47326	34.16	
	36	4	69619	14384	8007	105158	343697	47994	34.16	
	36	5	62594	39490	20734	236678	30084	49546	34.16	
	36	6	56781	12871	7738	64034	16451	41141	34.16	
	36	7	51696	13454	8108	119723	58913	45788	34.16	
	36	8	22940	7404	5571	5235	7274	4340	34.16	
	37	1	22133	7295	5410	5123	6774	4317	34.19	
	37	2	83523	12593	6787	43752	115144	46640	34.19	
	37	3	70461	11603	8049	238392	82820	47497	34.19	
	37	4	69624	16919	9004	105065	343517	47947	34.19	
	37	5	63050	49217	25187	236211	29984	49478	34.19	
	37	6	56925	12912	7782	67068	16712	41366	34.19	
	37	7	51791	14855	8727	119670	58917	45834	34.19	
	37	8	22920	7383	5554	5211	7281	4340	34.19	
	38	1	22156	7313	5431	5110	6771	4301	34.22	
	38	2	104017	13740	6779	43951	126984	46864	34.22	
	38	3	70500	11577	8038	238420	94632	47608	34.22	
	38	4	69960	20801	10540	105198	343375	47994	34.22	
	38	5	63440	57558	29110	236076	29992	49494	34.22	
	38	6	56914	12901	7774	69249	16841	41475	34.22	
	38	7	51910	16771	9557	119687	58930	45931	34.22	
	38	8	22959	7386	5545	5230	7278	4342	34.22	
	39	1	22183	7315	5426	5133	6771	4303	34.25	
	39	2	134213	15445	6790	44130	139978	47086	34.25	
	39	3	70511	11588	8039	238800	113134	47913	34.25	
	39	4	70203	24762	12146	105312	343381	47915	34.25	
	39	5	63828	64011	32062	236427	30047	49536	34.25	
	39	6	56721	12918	7797	70762	16964	41612	34.25	
	39	7	52091	18872	10441	119692	58929	46022	34.25	
	39	8	22983	7371	5593	5245	7284	4339	34.25	
	40	1	22189	7327	5422	5114	6792	4300	34.25	
	40	2	170268	17464	6818	44260	151965	47247	34.25	
	40	3	70615	11630	8061	239203	134114	48296	34.25	
	40	4	70436	28371	13553	105326	343473	47911	34.25	
	40	5	64201	69168	34391	236680	30065	49614	34.25	
	40	6	56747	12885	7787	71622	17011	41703	34.25	
	40	7	52137	21220	11441	119428	58807	45940	34.25	
	40	8	22989	7428	5584	5250	7284	4353	34.25	
